idx_issue,등록일자,상태,구분,작성자명,작성자명(form DB),프로젝트명,관련제품,이슈내용,발생원인,개선방안
1040,2026.4.22,등록,,채효경,채효경,PNA51145-다우코리아(두산전자),브릭스탠드 멀티충전기,"9V, 12V를 지원하는 30W 이상의 출력가정용 충전기를 사용하였음에도 깜빡깜빡거리면서 충전이 되지 않는 수량이 잔여분으로 대체하고도 2개 정도 있다고 합니다.
충전기 본품 무지 제품 전달 가능할지 확인 부탁 드립니다. ",제품 불량 ,
1039,2026.4.16,등록,,지윤미,지윤미,PNA37363-프라이머스케이,올웨이즈 양우산,우산이 끝까지 펼쳐지지 않아서 사용이 어려우심,제품 불량,
1038,2026.3.31,등록,,우예림,우예림,PNA50693-삼성전자,"브릭스탠드 멀티충전기,브랜디드 피규어","배포 중 불량 확인 
- 헤어 비스포크 옵션 부재 1개(갈색 헤어/에이원 입하사진 참고)
- 충전패드 불량 1개 (오작동/영상)

전체 수량(215개) 중 47개 정도는 추후 개봉 예정이라, 전수 확인은 어려운 상황입니다. ","- 임가공 시 헤어 파츠 누락
- 충전패드 불량",
1037,2026.3.31,등록,,채효경,채효경,PNA50886-CJ대한통운,킵세이프 마그넷 배터리 Slim,"엔드 유저 분이 연락 주셨습니다. 보조배터리의 충전 및 스마트폰 충전 모두 기능하지 않음
",,
1036,2026.3.26,등록,,현동원,현동원,PNA50732-김해시청,페이퍼 샤쉐,전체 100개 중 일부가 홀로그램박이 아닌 백박으로 제작됨,,
1035,2026.3.20,등록,,지윤미,지윤미,PNA35051-멜팅필름,플레인 USB,usb 앞 부분이 휘어져있어서 단자에 연결이 어려움,,
1034,2026.3.12,등록,,이은지,이은지,PNA50873-인바디,라이트 샤오미펜,배경지 시안 중 C3 텍스트 하단 그라데이션이 시안과 다르게 중간중간 화이트가 들어가 있고 끊겨서 제작,시안 데이터 확인 필요,
1033,2026.2.19,등록,,현동원,현동원,PNA50241-파블로항공,에센셜 장우산,"인쇄 번짐이 심하다고 고객 인지 
",,
1032,2026.2.13,등록,,지윤미,지윤미,PNA50214-주식회사디마이너스원,"Solid 커스텀 G형 박스,데코 스티커","동일 색상 값으로 제작했으나 제품 별 색감 차이 발생
->공정 특성 상 색상 차이가 날 수 있는 점 고객도 인지하고 있으나 허용 범위를 넘어서는 수준이라고 생각하심.",,
1031,2026.2.10,등록,,현동원,현동원,PNA50231-원데이기프트,로고스트랩 파우치,"스트랩에 실이 박혀져 있는 수량이 많고, 일부는 실 위에도 인쇄가 진행됨
",,
1030,2026.2.6,등록,,송지영,송지영,PNA37460-세인트새틴,와이드클립 펜,"이슈 사항은 아래와 같습니다. 
 
- 볼펜 로고 인쇄 부분이 전달드렸던 시안과 상이함 다른 상품들은 로고가 정상 인쇄 확인되었으나, 볼펜만 로고 폰트 굵기가 얇게 인쇄되어 있음.


해당 부분에 대해

- 발생 원인
- 추가 제작 시 개선 가능 여부

확인 요청하셨습니다. ",확인 필요 ,
1029,2026.2.5,등록,,현동원,현동원,PNA36556-효성중공업,베이직 도킹형 보조배터리,"불량 총 2개 발생
작년 11월에 불량 1개 발생하여 여유분 1개로 해결 요청 드렸으며,
오늘 다른 제품에서 충전 불량 발생했다고 합니다.

(리뉴얼 전 기물로 제작했던 건입니다.)",,
1028,2026.2.4,등록,,지윤미,지윤미,PNA37360-연세의료원,슬로건 다이어리,내부 검수 중 스펠링 오타 발견 (first -> fisrt),디퀘 작업 과정에서 스펠링 오타가 발생하였으며 필기체라 오타 인지가 어려웠던 것으로 확인됨,
1026,2026.2.2,등록,,현동원,현동원,PNA31145-기아,바이브 캠핑쿨러,풀필먼트 보관 후 1/26 출고한 Environment 키트 중 하나가 파손된 상태로 도착함,,
1025,2026.1.30,등록,,채효경,채효경,PNA38693-솔루엠,시그니처 다이어리,"스탠다드 내지 300개 제작하셨는데, 무광은박이 매우 번지고 지저분하게 인쇄되었습니다. 
이미 [PNA36722-솔루엠] 건으로 시그니처다이어리 1천권 내지 커스텀 제작해보신 적이 있으신데, 그 때 실물도 가지고 계셔서 비교사진을 주셨고 확연히 퀄리티가 떨어져 보입니다.(ㅠㅠ)

아직 이전 커스텀 제작 건 잔여수량이 남아있어서 소진 전에 주문하신 상황이라 일정이 아주 급하지는 않은데, 대안 및 일정 역으로 안내주시길 요청 주셨습니다. ",,
1024,2026.1.27,등록,,채효경,채효경,PNA38055-데브시스터즈,에디트 캘린더,"전체적인 색감이 발주확정시안과 대비했을 때 상당히 어둡게 인쇄되었다고 합니다. 
커버의 쿠키 캐릭터가 중요한데 다소 탄 것 같은 색감이고, 내지의 배경색도 인쇄오차 수준을 넘어 전반적인 색감이 다르게 인쇄되었다고 합니다.
전체적으로 색감 차이가 있으나, 유독 더 심한 페이지는 [커버, 26년 1월 월력, 27년 1월 월력] 입니다. 
에이원에 실물 남아있다면 실물로 비교해봐주시면 좋을 것 같아요. 

고객이 시안 작업하셨고, 뒷묻음 방지 위해 체크파이널에서 전체적으로 색상값 조정하여 발주확정시안 드려 고객컨펌되었으나, 확정시안과 실제인쇄물 간 차이가 너무 크다고 느끼시는 상황입니다. 
(시안과 실제 인쇄물 간 차이가 있을 수 있는 점은 알고 계시지만, 그 차이가 너무 심하다고 느끼심) 

오늘(1/27) 출고된 건인데, 원래 납품 후 바로 배포 예정이었어서 ASAP으로 재인쇄 등 조치를 희망하십니다. 
전체적으로 내용 확인하여 답변 주시면 감사하겠습니다. 

1) 저희 제작, 검수 단계에 문제는 없었을지
2) 재인쇄 진행해드린다면 해결 가능한 정도일지
3) 재인쇄 진행 시 소요 기간 ",,
1023,2026.1.15,등록,,지윤미,지윤미,PNA37444-브레인크루,리멤버 탁상시계,전원이 들어오지 않음 (배터리를 교체해도 동일),,
1022,2026.1.12,등록,,이은지,이은지,PNA38111-대한혈액학회CML연구회,파카 조터 XL 볼펜,"발주 수량 30개 중 18개에는 개별각인/ 12개는 공통각인 문구가 들어가야 하는데,  18개 개별각인 중 하나가 누락되어 13개 공통각인으로 전달 받으셨다고 합니다.
누락된 개별각인은 발주 확정 시안 기준 12번 S. A. Shin · CMLWP 이라고 합니다.
새 제품에 누락된 문구 개별 각인하여 전달이 필요한데 재제작 시 리드타임 확인 부탁드립니다.",,
1021,2026.1.8,등록,,이은지,이은지,PNA37951-인터브랜드,내추럴 노트,"가름끈 접착력이 너무 약해서 조금만 당겨도 빠지고, 접착면이 들뜨는 부분도 있다고 합니다. 현재 배포한 50개 중 10개에서 해당 이슈가 발견된 상황입니다.

1) 이미 배포된 제품 중에는 불량 있는 제품만 회수 및 보수 작업
2) 아직 배포되지 않은 50여개 (OPP 포장되어있음)에 대해서는 전량 회수 및 검수 후 불량 보수작업. 

상기 두가지 내용으로 대응 필요할 것 같습니다.",,
1020,2026.1.7,등록,,이은지,이은지,PNA36746-유안타증권,밸류 무선충전 마우스패드,"현재까지 4개 수량 충전이 되지 않는다는 불량 이슈 (충전 램프가 들어오지 않음)/
해당 수량 정상 제품으로 교환 필요",,
1019,2026.1.7,등록,,이은지,이은지,PNA38178-노원구청년일자리센터,클립 아트펜,"고객이 퀵 배송& 기사님과 소통 과정에서 불편을 느끼셨다고 합니다.
원래 오늘 오전 출고 건인데, 어제 오후에 수령 일정 미리 조정 가능한지 연락 받으셨습니다. 

고객이 연락 받으신 시점에서 기사님께 도착 가능 시간을 여쭤봤더니 고객 영업시간 이후라 직접 수령이 불가한 상황이었습니다.

고객사 건물이 고객사만 쓰는 건물이 아니라 분실 위험 등으로 인해 고객은 원래대로 오늘 영업시간 중 직접 수령을 의사를 밝히셨지만, 기사님께서 지속적으로 비대면으로 두고 갈 곳이 없는지 요청하셨고 이 과정에서 고객 퇴근시간 이후에 연락하여 수령 가능한 곳을 사진 찍어 보내라고 하시는 등 불편함이 있으셨다고 합니다 ㅠ 더불어 고객은 영업시간 아니더라도 오늘 오전 중에 배송 받는 것으로 이해하셨는데 새벽 3시경에 전달이 되었다고 합니다.

고객 입장에서는 퀵 서비스 자체가 원하는 시간대에 직접 수령 받는 서비스인데 이렇게 비대면으로 전달 받은 점, 기사님과 소통이 일방적으로 느껴진 점이 많이 불편하셨다고 하는데요,

고객은 퀵 배송비 지불한 만큼의 서비스를 못 받은 것 같아 불만족하셨고 이에 대한 사과&보상을 요청한 상황이라
고객 입장 외에 기타 특이사항 있었던건지, 발생 원인을 알고 설명 드려야 할 것 같아서 확인 요청 드립니다.",,
1018,2026.1.6,등록,,지윤미,지윤미,PNA37750-그래피,시그니처 다이어리,고객시안으로 발주 후 출고되었으나 오타 발견,,
1017,2026.1.5,등록,,이은지,이은지, PNA37951-인터브랜드,내추럴 노트,"내추럴노트 OPP 포함하여 발주하였는데 고객께는 OPP 포장되지 않은 채로 벌크 출고되었다고 합니다. 내추럴노트 OPP포장은 협력사 임가공으로 확인되는데 누락된 원인을 알 수 있을까요? 
+) 아직 후속 조치는 고객과 확인중이긴 한데 회수 후 OPP 포장 진행 시 대략적으로 기간 얼마나 소요될지 확인 부탁드립니다.",,
1016,2025.12.26,등록,,송지영,송지영,PNA37751-생텀,액티브 스포츠타월,"고객이 열어서 확인을 해보니 모든 타월들이
첨부해드린 사진과 같이 타월의 좌측 상단에 보풀이 일어나 있고 거친 질감이 있습니다.

사진을 보니 상단이랑 하단 천의 보풀이나 거칠기가 좀 다른거 같은데.. 
잘못 제작된 것일지 한 번 확인 부탁드리겠습니다. 
",,
1015,2025.12.23,등록,,채효경,채효경,PNA37856-세방전지,아이콘 펜,"아이콘펜의 아이콘 부착면이 고정력이 너무 약해 금방 떨어짐.
펜의 클립을 간단하게 꽂을 때는 물론이고 펜 버튼을 누를때나 심지어는 처음 케이스에서 제품을 꺼낼 때도 툭 하고 쉽게 떨어져버린다고 합니다.

현재 주문하신 500개 중에 10개~20개 정도 배포하셨고, 사용하시던 엔드유저가 해당 이슈 알려주시고 몇개 더 확인해보면서 발견하셨다고 하네요. 

배포하셔야 하는 일정이 정해지지는 않았지만, 계속해서 배포하실 예정이라 전체 회수 및 부착면 보수 작업하여 재출고해드리는 방향이 가장 좋을 것 같습니다. ",,
1014,2025.12.22,등록,,현동원,현동원,PNA37127-한국탕화쿵푸,"브릭 메모&캘린더 스탠드,브랜디드 피규어","브릭 메모 스탠드 내에 삽입되어 있는 피규어의 오른쪽 팔 블록이 없다고 엔드 유저의 연락이 있었습니다. (손 블록은 있다고 하십니다.) 

저희 측 내부 여유수량 있는지 확인해 보고, 없으면 엔드유저에게 누락된 블록만 별도 전달드리는 것으로 마무리 하겠습니다. ",,
1013,2025.12.19,등록,,이은지,이은지,PNA36848-행복에프앤씨,썸네일 캘린더,내지 일부 시안이 겹쳐서 인쇄됨,,
1012,2025.12.18,등록,,김령은,김령은,PNA37362-삼성전자,아트워크 레더 다이어리,"어두운 색으로 배경 인쇄 진행한 아트워크 다이어리 제품 모서리 인쇄 부분이 살짝 찢어진 듯이 확인됩니다.

총 6가지 시안으로 100개씩 제작 진행했는데, 어두운 색인 두 가지 시안(B4, B5) 제품에서만 확인되는 문제입니다. 첨부 사진 확인하셔서 불량에 해당될지 확인 부탁드려요.

고객이 제품 수령하시고 바로 행사에서 배포하신 상황입니다. 배포 후 잔여 수량 색상별 20개 정도이며 블루(B4) 색상은 20개 중 1개, 그린(B5) 색상은 20개 중 8개 불량 확인하셨다고 합니다.

고객이 배포 받은 분들이 불량으로 교체 해달라는 요구가 있는 경우 전달하기 위한 추가 수량 재재작 요청주셨습니다. 남은 수량 배포는 12/26에 진행 예정입니다.

",,
1011,2025.12.17,등록,,송지영,송지영,PNA36139-STUNITAS,시그니처 다이어리,시그니처 다이어리 하단에 알파벳 1개가 누락되어 제작됨 ,원인 확인 필요 ,
1010,2025.12.17,등록,,이은지,이은지,PNA36754-(주)언어발전소,썸네일 캘린더,"'- 달력면의 25년 12월부터 26년 1월까지 공휴일 표기가 초록으로 잘못 인쇄됨 (시안은 모두 빨강으로 정상, 7월부터는 빨강으로 정상 인쇄)
- 공휴일 표기가 잘못 인쇄된 달력면에는 로고 색상도 다르게 인쇄됨 (로고 좌측 따옴표 그래픽이 푸른색이어야 하나 보라색으로 인쇄됨. 동일하게 7월부터는 정상)","인쇄 오류로 추정, 발주 시안에 이상 없습니다.",
1009,2025.12.16,등록,,한봄이,한봄이,PNA36633-삼성물산,퀵차지 도킹형 보조배터리,엔드유저로부터 퀵차지 도킹형 보조배터리 제품 충전이 전혀 되지 않는다는 불량문의가 접수되어 제품 교환 가능할지 문의주심,아마도 기기 결함,
1008,2025.12.16,등록,,채효경,채효경,PNA36573-뉴테크우드코리아,썸네일 캘린더,"썸네일캘린더와 브랜드잇 퀄리티 이슈로 클레임 발생해 고객이 주신 메일 전문 및 사진 스레드에 업로드하겠습니다. 

간략히 정리하자면 주요 문제 아래와 같습니다.
1) 썸네일캘린더 사진 인쇄 부분  미세한 핀홀 및 점상 노이즈가 다수 발생
2) 브랜드잇 동일시안 재발주인데 내지 재질 자체가 다르고, 인쇄부분 미세한 점 다수 발생

아래 내용 팔로업 필요합니다.
1) 개선 가능할지
2) 개선 가능하다면 전량 재제작 가능할지
3) 1-2번 어렵다면 전액 또는 일부 환불 가능할지 ",,
1006,2025.12.16,등록,,채효경,채효경,PNA37458-삼성서울병원,글로시 키링,"글로시 키링 인쇄 불량 발생(1000개 중 6개) 

이전에 [PNA36388-삼성서울병원] 건에서도 동일 불량 발생해서 여분수량 충당 외 나머지 수량 추가제작 해드린 것으로 확인됩니다. 

키링[3]
- 키링시안 D3, 배경지시안 F3 
- 151개 수령, 2개 불량, 여분수량으로 1개 충당, 총 1개 추가제작 필요 

키링[10]
- 키링시안 D10, 배경지시안 F10 
- 101개 수령, 4개 불량, 여분수량으로 1개 충당, 총 3개 추가제작 필요 

이전 이슈대응 시 배경지와 남는수량 임가공팀 보관중이어서 실버팩+배경지 포장 완성품 형태로 전달드렸는데 가능할지 확인 부탁 드립니다. ",,
1005,2025.12.12,등록,,채효경,채효경,PNA37736-(주)해피문데이,홈카페 코스터,"배경지 전후면이 바뀌어 포장됨.
고객이 팔로업 요청하지는 않으셔서 내부공유만 합니다. 
전후면이 명확한 시안이라고 판단하기도 했고, 표준 임가공에서 벗어나지 않아서 임가공샘플링 불필요한 것으로 체크했었는데, 예상치 못한 이슈네요. 
임가공팀에서 참고해주시면 좋을 것 같습니다. ",,
1004,2025.12.10,등록,,지윤미,지윤미,PNA35939-국립세계문자박물관,슬로건 다이어리,"뒷면 커버 접착부분이 떨어짐.
150개 중 5개 정도 확인하셨는데 1개 발견된 상황이며, 사용하시는 일정 확인 후 회수하여 검수 및 재부착 필요할 것 같습니다.",추워서 접착부분이 떨어진게 아닐지...,
1003,2025.12.10,등록,,지윤미,지윤미,PNA36503-희림건축,Solid 스탠다드 G형 박스,"배송 이슈
출고 전날 배송지(층수) 변경되었으나 출고지인 협력사에서 퀵을 미리 배차해두셨고, 수정 전 층수로 배송됨
(수량이 너무 많고 혼자 계셨던 상황이라) 고객이 7층에서 12층으로 옮겨달라고 말씀하셨으나 퀵 기사님들이 거절-> 이후 신시어리 퀵 기사님이 방문하여 옮겨주셔서 잘 해결되었으나 내부 공유 차 남깁니다.",,
1002,2025.12.10,등록,,지윤미,지윤미,PNA35058-넥슨재팬,아이콘 콜드컵,"아이콘 뒷면 고리 부분이 파손
넥슨 코리아로 배송 된 3개 중 1개 파손된 상황이고 이 외 수량은 넥슨 재팬으로 배송 중에 있어서 불량 수량 확인 후 일부 재제작 진행 예정입니다.",,
1001,2025.12.10,등록,,현동원,현동원,PNA37493-오케스트로,히트업 손난로 보조배터리,"1. 슬리브에 이동 및 임가공 작업 중 발생한 기스를 고객이 이슈로 인지 
기스는 살짝만 스쳐도 잘 티가 나는 것으로 확인, 시안 배경이 남색의 어두운 색이라 기스가 두드러짐 (사진 빨간네모 부분)
2. 슬리브 일부 면의 오시선 위치 오차가 다양하게 발생 (1-2mm 위치 오차는 안내 드렸으나 4mm 발생도 있다고 말씀하심) (사진2,3 참고)",,
1000,2025.12.3,등록,,송지영,송지영,PNA36975-KT그룹희망나눔재단,브랜디드 피규어,"배경지가 지나치게 왼쪽으로 치우침. 
배경지 사이즈도 비닐에 비해 너무 작다고 느끼심 

재단 오차로 설명드렸으나 고객이 납득하지 못하는 수준이라고 말씀하셨고, 재제작 요청하셨습니다. 

12/5까지 납품되어야 하는 상황입니다. ",배경지 재단 오차.. ,
999,2025.12.1,등록,,김령은,김령은,PNA36358-에프엠커뮤니케이션즈,히트업 손난로 보조배터리,"고객이 제품 오늘 수령하셔서 전량 검수하셨는데, 손난로 제품 밑면에 얼룩진 제품이 50개 중 34개 정도로 확인됨",확인 필요,
998,2025.11.26,등록,,지윤미,지윤미,PNA36865-무빙스톤즈,올데이 텀블러,뒷면 시안 UNVERSITY에서 Y가 빠져서 인쇄됨,발주 이후 인쇄 센터 위치가 맞지 않아서 시안이 수정되었고 그 과정에서 Y가 누락됨,
997,2025.11.26,등록,,이은지,이은지,PNA36915-자이크론,내추럴 노트,"'- 홈페이지 메인 사진을 보시고, 내지에 캘린더가 기본 포함인 것으로 인지하여 주문하셨으나 실제 견적은 1번옵션(아이디어노트)으로 반영 후 제작되어 수령 후 문의주셨습니다.
- 내지 옵션 변경하여 전 수량 재제작을 희망하시지만, 사전에 내지 옵션에 대한 안내가 충분히 이루어지지 않았기 때문에 견적은 일정 부분 할인을 희망하십니다.
- 재제작은 최대한 빠른 일정으로 진행 희망","- 내지 옵션에 대한 충분한 사전 안내 누락 
따로 다이어리 형식으로 제작 희망하신다고 말씀 주시진 않았지만, 최초에 같이 문의하신 제품이 모두 다이어리 종류였어서 미리 인지하고 내지 옵션 더블체크 했어야 한다고 생각합니다.",
996,2025.11.3,등록,,채효경,채효경,PNA36522-이유엠,베케이션 여권케이스,"커버 인쇄에 하얀 세로줄이 있거나, 인쇄가 안들어간 흰색 점들이 보인다고 합니다.
아직 고객이 100여개 정도만 확인했는데, 세로줄은 발생 건이 7개 정도 된다고 하시네요.
오늘 고객이 외근이셔서 1천개 전량 고객사에서 직접 검수하실지, 혹은 신시어리에 전량 회수 및 검수 요청 주실지 내부 논의하여 내일 중 다시 연락주시기로 하였습니다. 
내용 미리 공유 위하여 이슈 사진과 함께 업로드하며, 해당 불량 건들에 대해 재제작 가능할지 확인 부탁 드립니다. ",,
995,2025.11.3,등록,,채효경,채효경,PNA36472-이노브릿지파트너스,화이트쇼핑백,"쇼핑백 끈 두께가 끈이 통과하는 구멍과 동일해 끈이 계속 빠져서 고객이 직접 하나씩 매듭을 한번 더 지어 행사에서 사용하셨다고 합니다. 
무지 쇼핑백인데도 다른 업체에서 진행하지 않고 일부러 신시어리 퀄리티를 믿고 주문하셨는데, 해당 이슈로 행사 과정에서 어려움을 겪어 조금 실망스러운 부분이 있었다고 강조해 말씀 주셨어요. 
이미 행사 때 사용은 다하셔서 할인해드리는 방향으로 CX내부 팔로업할 예정인데, 개인적으로는 최근 연말 행사/선물 등으로 쇼핑백 문의 및 발주 건이 많아지는 것 같아 제품 퀄리티 관련 내부 공유 위해 인지이슈 업로드합니다. ",,
994,2025.11.3,등록,,송지영,송지영,PNA36070-디럭스미디어코리아,풀커버 스티치 노트,풀커버 스티치 노트 시안이 잘못 제작되어 풀커버 스티치 노트만 재제작 요청하신 상황, 고객과 큐레이터 간 커뮤니케이션 오류.. 쌍방 잘못,
993,2025.10.31,등록,,한봄이,한봄이,PNA36388-삼성서울병원,글로시 키링,글로시 키링 인쇄 불량 발생(1000개 중 4개),표본 검사로 진행하다보니 모든 인쇄 불량을 사전에 걸러내기 어려움,
